,Row ID,Order ID,Order Date,Contact Name,Country,City,Customer,Industry,Segment,Product,Sales,Quantity,Discount,Profit,Order Month,Order Month Name,Order Year
45,46,EMEA-2022-118255,2022-03-12,Gavin Mitchell,Luxembourg,Luxembourg,Sony,Tech,Strategic,ContactMatcher,17.46,2,0.0,8.2062,3,March,2022
46,47,AMER-2020-146703,2020-10-20,Katherine Dowd,Brazil,Salvador,Morgan Stanley,Finance,SMB,Marketing Suite - Gold,211.96,4,0.0,8.4784,10,October,2020
47,48,APJ-2022-169194,2022-06-21,Harry Brown,Philippines,Davao City,Bank of America Corp.,Finance,SMB,Data Smasher,45.0,3,0.0,4.95,6,June,2022
48,49,APJ-2022-169194,2022-06-21,Harry Brown,Philippines,Davao City,Bank of America Corp.,Finance,SMB,Site Analytics,21.8,2,0.0,6.104,6,June,2022
49,50,APJ-2021-115742,2021-04-18,Brian Dickens,India,Kolkata,Siemens,Manufacturing,SMB,ContactMatcher,38.22,6,0.0,17.9634,4,April,2021
50,51,APJ-2021-115742,2021-04-18,Brian Dickens,India,Kolkata,Siemens,Manufacturing,SMB,FinanceHub,75.18,6,0.0,35.3346,4,April,2021
51,52,APJ-2021-115742,2021-04-18,Brian Dickens,India,Kolkata,Siemens,Manufacturing,SMB,SaaS Connector Pack,6.16,2,0.0,2.9568,4,April,2021
52,53,APJ-2021-115742,2021-04-18,Brian Dickens,India,Kolkata,Siemens,Manufacturing,SMB,FinanceHub,89.99,1,0.0,17.0981,4,April,2021
53,54,EMEA-2022-105816,2022-12-12,Joseph Newman,United Kingdom,London,Tesco,Retail,Strategic,Storage,15.26,7,0.0,6.2566,12,December,2022
54,55,EMEA-2022-105816,2022-12-12,Joseph Newman,United Kingdom,London,Tesco,Retail,Strategic,Site Analytics,1029.95,5,0.0,298.6855,12,December,2022
55,56,EMEA-2022-111682,2022-06-18,Nicola Howard,United Kingdom,Brighton,Aviva,Finance,SMB,Marketing Suite - Gold,208.56,6,0.0,52.14,6,June,2022
56,57,EMEA-2022-111682,2022-06-18,Nicola Howard,United Kingdom,Brighton,Aviva,Finance,SMB,Support,32.4,5,0.0,15.552,6,June,2022
57,58,EMEA-2022-111682,2022-06-18,Nicola Howard,United Kingdom,Brighton,Aviva,Finance,SMB,FinanceHub,319.41,5,0.1,7.098,6,June,2022
58,59,EMEA-2022-111682,2022-06-18,Nicola Howard,United Kingdom,Brighton,Aviva,Finance,SMB,Support,14.56,2,0.0,6.9888,6,June,2022
59,60,EMEA-2022-111682,2022-06-18,Nicola Howard,United Kingdom,Brighton,Aviva,Finance,SMB,Data Smasher,30.0,2,0.0,3.3,6,June,2022
60,61,EMEA-2022-111682,2022-06-18,Nicola Howard,United Kingdom,Brighton,Aviva,Finance,SMB,ContactMatcher,48.48,4,0.2,16.362,6,June,2022
61,62,EMEA-2022-111682,2022-06-18,Nicola Howard,United Kingdom,Brighton,Aviva,Finance,SMB,ChatBot Plugin,1.68,1,0.0,0.84,6,June,2022
62,63,AMER-2021-135545,2021-11-24,Stewart Wilson,United States,New York City,Mondelez International,Consumer Products,SMB,Data Smasher,13.98,2,0.0,6.1512,11,November,2021
63,64,AMER-2021-135545,2021-11-24,Stewart Wilson,United States,New York City,Mondelez International,Consumer Products,SMB,ContactMatcher,25.824,6,0.2,9.3612,11,November,2021
64,65,AMER-2021-135545,2021-11-24,Stewart Wilson,United States,New York City,Mondelez International,Consumer Products,SMB,Support,146.73,3,0.0,68.9631,11,November,2021
65,66,AMER-2021-135545,2021-11-24,Stewart Wilson,United States,New York City,Mondelez International,Consumer Products,SMB,SaaS Connector Pack,79.76,4,0.0,22.3328,11,November,2021
66,67,APJ-2021-164175,2021-04-30,Eric McLean,Australia,Sydney,Abbott Laboratories,Healthcare,Enterprise,FinanceHub,213.115,5,0.3,-15.2225,4,April,2021
67,68,AMER-2020-106376,2020-12-05,Leah Clarkson,Chile,Puente Alto,Morgan Stanley,Finance,Strategic,ChatBot Plugin,1113.024,8,0.2,111.3024,12,December,2020
68,69,AMER-2020-106376,2020-12-05,Leah Clarkson,Chile,Puente Alto,Morgan Stanley,Finance,Strategic,Site Analytics,167.968,4,0.2,62.988,12,December,2020
69,70,EMEA-2022-119823,2022-06-05,Alison Davidson,Spain,Madrid,Fannie Mae,Finance,SMB,Support,75.88,2,0.0,35.6636,6,June,2022
70,71,EMEA-2022-106075,2022-09-19,Sophie Vance,United Kingdom,London,Aetna,Healthcare,SMB,ContactMatcher,4.616,1,0.2,1.731,9,September,2022
71,72,AMER-2023-114440,2023-09-15,Neil Gill,Brazil,Rio de Janeiro,Intel,Tech,SMB,Support,19.05,3,0.0,8.763,9,September,2023
72,73,EMEA-2021-134026,2021-04-26,Anne Lee,South Africa,Cape Town,Oracle,Tech,SMB,FinanceHub,831.936,8,0.2,-114.3912,4,April,2021
73,74,EMEA-2021-134026,2021-04-26,Anne Lee,South Africa,Cape Town,Oracle,Tech,SMB,SaaS Connector Pack,97.04,2,0.2,1.213,4,April,2021
74,75,EMEA-2021-134026,2021-04-26,Anne Lee,South Africa,Cape Town,Oracle,Tech,SMB,Marketing Suite - Gold,72.784,1,0.2,-18.196,4,April,2021
75,76,APJ-2023-118038,2023-12-10,Maria Dyer,Japan,Tokyo,Nissan Motor,Transportation,Strategic,ContactMatcher,1.248,3,0.8,-1.9344,12,December,2023
76,77,APJ-2023-118038,2023-12-10,Maria Dyer,Japan,Tokyo,Nissan Motor,Transportation,Strategic,SaaS Connector Pack,9.708,3,0.6,-5.8248,12,December,2023
77,78,APJ-2023-118038,2023-12-10,Maria Dyer,Japan,Tokyo,Nissan Motor,Transportation,Strategic,Marketing Suite - Gold,27.24,3,0.2,2.724,12,December,2023
78,79,APJ-2020-147606,2020-11-26,Anne Lee,Japan,Tokyo,Oracle,Tech,SMB,SaaS Connector Pack,19.3,5,0.6,-14.475,11,November,2020
79,80,EMEA-2022-127208,2022-06-13,Julia Ellison,Portugal,Lisboa,Tyson Foods,Consumer Products,Strategic,OneView,208.16,1,0.0,56.2032,6,June,2022
80,81,EMEA-2022-127208,2022-06-13,Julia Ellison,Portugal,Lisboa,Tyson Foods,Consumer Products,Strategic,ContactMatcher,16.74,3,0.0,8.0352,6,June,2022
81,82,AMER-2020-139451,2020-10-12,Gordon McLean,United States,Los Angeles,Verizon Communications,Communications,SMB,ChatBot Plugin,14.9,5,0.0,4.172,10,October,2020
82,83,AMER-2020-139451,2020-10-12,Gordon McLean,United States,Los Angeles,Verizon Communications,Communications,SMB,Marketing Suite - Gold,21.39,1,0.0,6.2031,10,October,2020
83,84,EMEA-2021-149734,2021-09-03,Jessica Buckland,Sweden,Uppsala,Itochu,Finance,Strategic,SaaS Connector Pack - Gold,200.984,7,0.2,62.8075,9,September,2021
84,85,APJ-2023-119662,2023-11-14,Bernadette Nolan,Australia,Sydney,Royal Dutch Shell,Energy,Enterprise,Marketing Suite - Gold,230.376,3,0.2,-48.9549,11,November,2023
85,86,AMER-2023-140088,2023-05-29,Katherine Dowd,Colombia,Bogotá,Morgan Stanley,Finance,SMB,FinanceHub,301.96,2,0.0,33.2156,5,May,2023
86,87,EMEA-2023-155558,2023-10-27,Sonia Ince,Luxembourg,Luxembourg,Daimler,Transportation,SMB,Data Smasher,19.99,1,0.0,6.7966,10,October,2023
87,88,EMEA-2023-155558,2023-10-27,Sonia Ince,Luxembourg,Luxembourg,Daimler,Transportation,SMB,FinanceHub,6.16,2,0.0,2.9568,10,October,2023
88,89,APJ-2022-159695,2022-04-06,William Lewis,Japan,Tokyo,Fannie Mae,Finance,Enterprise,Marketing Suite - Gold,158.368,7,0.2,13.8572,4,April,2022
89,90,AMER-2022-109806,2022-09-18,Melanie Young,United States,New York City,Daimler,Transportation,Strategic,ChatBot Plugin,20.1,3,0.0,6.633,9,September,2022
90,91,AMER-2022-109806,2022-09-18,Melanie Young,United States,New York City,Daimler,Transportation,Strategic,Site Analytics,73.584,2,0.2,8.2782,9,September,2022
91,92,AMER-2022-109806,2022-09-18,Melanie Young,United States,New York City,Daimler,Transportation,Strategic,Support,6.48,1,0.0,3.1104,9,September,2022
92,93,EMEA-2021-149587,2021-01-31,Edward Oliver,Luxembourg,Luxembourg,Morgan Stanley,Finance,SMB,Support,12.96,2,0.0,6.2208,1,January,2021
93,94,EMEA-2021-149587,2021-01-31,Edward Oliver,Luxembourg,Luxembourg,Morgan Stanley,Finance,SMB,SaaS Connector Pack,53.34,3,0.0,16.5354,1,January,2021
94,95,EMEA-2021-149587,2021-01-31,Edward Oliver,Luxembourg,Luxembourg,Morgan Stanley,Finance,SMB,ContactMatcher,32.96,2,0.0,16.1504,1,January,2021
95,96,EMEA-2023-109484,2023-11-07,Peter Quinn,Belgium,Brussels,Walgreens,Retail,Enterprise,ContactMatcher,5.682,1,0.7,-3.788,11,November,2023
96,97,EMEA-2023-161018,2023-11-10,Max Marshall,United Kingdom,London,Boeing,Manufacturing,Enterprise,SaaS Connector Pack,96.53,7,0.0,40.5426,11,November,2023
97,98,AMER-2023-157833,2023-06-18,Jan Watson,United States,Los Angeles,Valero Energy,Energy,SMB,ContactMatcher,51.312,3,0.2,17.9592,6,June,2023
98,99,EMEA-2022-149223,2022-09-07,Carol Ball,Luxembourg,Luxembourg,Nestle,Consumer Products,Strategic,OneView,77.88,6,0.0,22.5852,9,September,2022
99,100,APJ-2022-158568,2022-08-30,Gavin Walsh,Australia,Sydney,Philip Morris International,Consumer Products,Enterprise,Support,64.624,7,0.2,22.6184,8,August,2022
100,101,APJ-2022-158568,2022-08-30,Gavin Walsh,Australia,Sydney,Philip Morris International,Consumer Products,Enterprise,Data Smasher,95.976,3,0.2,-10.7973,8,August,2022
101,102,APJ-2022-158568,2022-08-30,Gavin Walsh,Australia,Sydney,Philip Morris International,Consumer Products,Enterprise,ContactMatcher,1.788,3,0.8,-3.0396,8,August,2022
102,103,EMEA-2022-129903,2022-12-02,Penelope Peake,Luxembourg,Luxembourg,Trafigura Group,Finance,SMB,Support,23.92,4,0.0,11.7208,12,December,2022
103,104,EMEA-2021-156867,2021-11-13,Amy Scott,Russia,Moscow,Walmart,Retail,SMB,Data Smasher,238.896,6,0.2,-26.8758,11,November,2021
104,105,EMEA-2021-156867,2021-11-13,Amy Scott,Russia,Moscow,Walmart,Retail,SMB,SaaS Connector Pack,102.36,3,0.2,-3.8385,11,November,2021
105,106,EMEA-2021-156867,2021-11-13,Amy Scott,Russia,Moscow,Walmart,Retail,SMB,ContactMatcher,36.882,3,0.7,-25.8174,11,November,2021
106,107,EMEA-2023-119004,2023-11-24,Carl Jackson,Sweden,Stockholm,Cisco Systems,Tech,SMB,Data Smasher,74.112,8,0.2,17.6016,11,November,2023
107,108,EMEA-2023-119004,2023-11-24,Carl Jackson,Sweden,Stockholm,Cisco Systems,Tech,SMB,Site Analytics,27.992,1,0.2,2.0994,11,November,2023
108,109,EMEA-2023-119004,2023-11-24,Carl Jackson,Sweden,Stockholm,Cisco Systems,Tech,SMB,ChatBot Plugin,3.304,1,0.2,1.0738,11,November,2023
109,110,APJ-2021-129476,2021-10-15,Joe Wallace,Australia,Canberra,Nissan Motor,Transportation,Enterprise,Data Smasher,339.96,5,0.2,67.992,10,October,2021
110,111,EMEA-2023-146780,2023-12-26,Luke Mills,United Kingdom,London,Prudential Financial,Finance,Strategic,SaaS Connector Pack,41.96,2,0.0,10.9096,12,December,2023
111,112,EMEA-2022-128867,2022-11-04,Alexandra Dyer,Netherlands,The Hague,Walmart,Retail,SMB,ChatBot Plugin,75.96,2,0.0,22.788,11,November,2022
112,113,EMEA-2022-128867,2022-11-04,Alexandra Dyer,Netherlands,The Hague,Walmart,Retail,SMB,ContactMatcher,27.24,6,0.0,13.3476,11,November,2022
113,114,AMER-2020-115259,2020-08-25,Rebecca Dickens,Mexico,Mexico City,Amazon,Tech,SMB,Storage,40.096,14,0.2,14.5348,8,August,2020
114,115,AMER-2020-115259,2020-08-25,Rebecca Dickens,Mexico,Mexico City,Amazon,Tech,SMB,SaaS Connector Pack - Gold,4.72,2,0.2,1.652,8,August,2020
115,116,AMER-2020-115259,2020-08-25,Rebecca Dickens,Mexico,Mexico City,Amazon,Tech,SMB,Support,23.976,3,0.2,7.4925,8,August,2020
116,117,AMER-2020-115259,2020-08-25,Rebecca Dickens,Mexico,Mexico City,Amazon,Tech,SMB,SaaS Connector Pack - Gold,130.464,6,0.2,44.0316,8,August,2020
117,118,AMER-2021-110457,2021-03-02,Audrey Hardacre,Canada,Toronto,Trafigura Group,Finance,SMB,ContactMatcher,787.53,3,0.0,165.3813,3,March,2021
118,119,EMEA-2021-136476,2021-04-05,Jennifer Dowd,South Africa,Cape Town,Gazprom,Energy,Strategic,ContactMatcher,157.794,1,0.7,-115.7156,4,April,2021
119,120,APJ-2022-103730,2022-06-13,Natalie Sanderson,Philippines,Manila,Aetna,Healthcare,SMB,SaaS Connector Pack,47.04,3,0.0,18.3456,6,June,2022
120,121,APJ-2022-103730,2022-06-13,Natalie Sanderson,Philippines,Manila,Aetna,Healthcare,SMB,ContactMatcher,30.84,4,0.0,13.878,6,June,2022
121,122,APJ-2022-103730,2022-06-13,Natalie Sanderson,Philippines,Manila,Aetna,Healthcare,SMB,Marketing Suite - Gold,226.56,6,0.0,63.4368,6,June,2022
122,123,APJ-2022-103730,2022-06-13,Natalie Sanderson,Philippines,Manila,Aetna,Healthcare,SMB,SaaS Connector Pack - Gold,115.02,9,0.0,51.759,6,June,2022
123,124,APJ-2022-103730,2022-06-13,Natalie Sanderson,Philippines,Manila,Aetna,Healthcare,SMB,Site Analytics,68.04,7,0.0,19.7316,6,June,2022
124,125,APJ-2020-152030,2020-12-26,Samantha Rampling,Japan,Tokyo,FedEx,Transportation,Enterprise,FinanceHub,600.558,3,0.3,-8.5794,12,December,2020
125,126,APJ-2020-134614,2020-09-20,Sally Berry,Australia,Geelong,Tesco,Retail,SMB,ContactMatcher,617.7,6,0.5,-407.682,9,September,2020
126,127,AMER-2023-107272,2023-11-06,Anthony Clark,Chile,Santiago,Honda Motor,Manufacturing,SMB,ContactMatcher,2.388,2,0.7,-1.8308,11,November,2023
127,128,AMER-2023-107272,2023-11-06,Anthony Clark,Chile,Santiago,Honda Motor,Manufacturing,SMB,Marketing Suite - Gold,243.992,7,0.2,30.499,11,November,2023
128,129,AMER-2022-125969,2022-11-07,Victor Short,United States,New York City,Prudential Financial,Finance,Enterprise,FinanceHub,81.424,2,0.2,-9.1602,11,November,2022
129,130,AMER-2022-125969,2022-11-07,Victor Short,United States,New York City,Prudential Financial,Finance,Enterprise,SaaS Connector Pack,238.56,3,0.0,26.2416,11,November,2022
130,131,AMER-2023-164147,2023-02-03,Austin Newman,Mexico,Mexico City,Banco Santander,Finance,Strategic,Site Analytics,59.97,5,0.4,-11.994,2,February,2023
131,132,AMER-2023-164147,2023-02-03,Austin Newman,Mexico,Mexico City,Banco Santander,Finance,Strategic,Support,78.304,2,0.2,29.364,2,February,2023
132,133,AMER-2023-164147,2023-02-03,Austin Newman,Mexico,Mexico City,Banco Santander,Finance,Strategic,Storage,21.456,9,0.2,6.9732,2,February,2023
133,134,AMER-2022-145583,2022-10-14,Rose Scott,United States,Aurora,CVS Health,Retail,SMB,Support,20.04,3,0.0,9.6192,10,October,2022
134,135,AMER-2022-145583,2022-10-14,Rose Scott,United States,Aurora,CVS Health,Retail,SMB,Support,35.44,1,0.0,16.6568,10,October,2022
135,136,AMER-2022-145583,2022-10-14,Rose Scott,United States,Aurora,CVS Health,Retail,SMB,ChatBot Plugin,11.52,4,0.0,3.456,10,October,2022
136,137,AMER-2022-145583,2022-10-14,Rose Scott,United States,Aurora,CVS Health,Retail,SMB,Storage,4.02,2,0.0,1.9698,10,October,2022
137,138,AMER-2022-145583,2022-10-14,Rose Scott,United States,Aurora,CVS Health,Retail,SMB,ContactMatcher,76.176,3,0.2,26.6616,10,October,2022
138,139,AMER-2022-145583,2022-10-14,Rose Scott,United States,Aurora,CVS Health,Retail,SMB,Support,65.88,6,0.0,18.4464,10,October,2022
139,140,AMER-2022-145583,2022-10-14,Rose Scott,United States,Aurora,CVS Health,Retail,SMB,SaaS Connector Pack,43.12,14,0.0,20.6976,10,October,2022
140,141,EMEA-2022-110366,2022-09-06,Tim Morrison,France,Paris,General Motors,Manufacturing,Strategic,SaaS Connector Pack,82.8,2,0.2,10.35,9,September,2022
141,142,AMER-2023-106180,2023-09-19,Harry Murray,United States,Los Angeles,State Farm Insurance Cos.,Finance,Strategic,ChatBot Plugin,8.82,3,0.0,2.3814,9,September,2023
142,143,AMER-2023-106180,2023-09-19,Harry Murray,United States,Los Angeles,State Farm Insurance Cos.,Finance,Strategic,SaaS Connector Pack - Gold,10.86,3,0.0,5.1042,9,September,2023
143,144,AMER-2023-106180,2023-09-19,Harry Murray,United States,Los Angeles,State Farm Insurance Cos.,Finance,Strategic,Support,143.7,3,0.0,68.976,9,September,2023
144,145,EMEA-2023-155376,2023-12-23,Dylan Dowd,Poland,Warsaw,Comcast,Communications,SMB,OneView,839.43,3,0.0,218.2518,12,December,2023
145,146,AMER-2021-110744,2021-09-07,Angela Parsons,United States,Newark,AmerisourceBergen,Healthcare,SMB,Marketing Suite - Gold,671.93,7,0.0,20.1579,9,September,2021
146,147,AMER-2020-110072,2020-10-22,Lisa Oliver,Mexico,Monterrey,Toyota Motor,Manufacturing,Enterprise,SaaS Connector Pack,93.888,4,0.2,12.9096,10,October,2020
147,148,EMEA-2022-114489,2022-12-06,Joseph Duncan,Italy,Rome,Walmart,Retail,Strategic,Site Analytics,384.45,11,0.0,103.8015,12,December,2022
148,149,EMEA-2022-114489,2022-12-06,Joseph Duncan,Italy,Rome,Walmart,Retail,Strategic,Site Analytics,149.97,3,0.0,5.9988,12,December,2022
149,150,EMEA-2022-114489,2022-12-06,Joseph Duncan,Italy,Rome,Walmart,Retail,Strategic,FinanceHub,1951.84,8,0.0,585.552,12,December,2022
150,151,EMEA-2022-114489,2022-12-06,Joseph Duncan,Italy,Rome,Walmart,Retail,Strategic,ContactMatcher,171.55,5,0.0,80.6285,12,December,2022
151,152,AMER-2022-158834,2022-03-14,Paul MacDonald,Chile,Puente Alto,Johnson & Johnson,Healthcare,Enterprise,OneView,157.92,5,0.2,17.766,3,March,2022
152,153,AMER-2022-158834,2022-03-14,Paul MacDonald,Chile,Puente Alto,Johnson & Johnson,Healthcare,Enterprise,Site Analytics,203.184,2,0.2,15.2388,3,March,2022
153,154,AMER-2021-124919,2021-05-31,Gordon Graham,United States,Chicago,Engie,Energy,Strategic,Support,58.38,7,0.0,26.271,5,May,2021
154,155,AMER-2021-124919,2021-05-31,Gordon Graham,United States,Chicago,Engie,Energy,Strategic,Support,105.52,4,0.0,48.5392,5,May,2021
155,156,AMER-2021-124919,2021-05-31,Gordon Graham,United States,Chicago,Engie,Energy,Strategic,Marketing Suite - Gold,80.88,6,0.0,21.0288,5,May,2021
156,157,AMER-2021-118948,2021-05-28,Sean Bower,Canada,Toronto,HonHai Precision Industry,Tech,Enterprise,ChatBot Plugin,6.63,3,0.0,1.7901,5,May,2021
157,158,AMER-2020-104269,2020-03-01,Anthony Sanderson,Canada,Toronto,American Express,Finance,SMB,FinanceHub,457.568,2,0.2,51.4764,3,March,2020
158,159,APJ-2022-114104,2022-11-21,Stewart Marshall,Singapore,Singapore,Daimler,Transportation,SMB,FinanceHub,14.62,2,0.0,6.8714,11,November,2022
159,160,APJ-2022-114104,2022-11-21,Stewart Marshall,Singapore,Singapore,Daimler,Transportation,SMB,Site Analytics,944.93,7,0.0,236.2325,11,November,2022
160,161,AMER-2022-162733,2022-05-12,Joanne Carr,United States,New York City,J.P. Morgan Chase & Co.,Finance,SMB,Support,5.98,1,0.0,2.691,5,May,2022
161,162,EMEA-2021-119697,2021-12-28,Angela Davies,France,Paris,Kroger,Retail,SMB,Data Smasher,54.384,2,0.2,1.3596,12,December,2021
162,163,APJ-2022-154508,2022-11-17,William Alsop,New Zealand,Wellington,Mondelez International,Consumer Products,SMB,SaaS Connector Pack - Gold,28.4,5,0.0,13.348,11,November,2022
